name,best_val_f1,f1_per_class
trisha_convnext_small,0.9721906685177858,"[0.9266390446015111, 0.9528662420382166, 0.9487543042333401]"
trisha_tf_efficientnetv2_s,0.9663978620263269,"[0.9545683997980817, 0.9780839073262367, 0.9665412789546625]"
trisha_efficientnet_b2,0.9625145365194147,"[0.9481746234363033, 0.9649661954517517, 0.9628898539281484]"
trisha_resnet34,0.960983237917486,"[0.9436156763590392, 0.9677819083023544, 0.9621106923229518]"
trisha_resnet18,0.952984992494824,"[0.935687263556116, 0.9392663860493085, 0.9566439181051787]"
trisha_densenet121,0.952081094634286,"[0.9444444444444444, 0.9507598784194529, 0.961038961038961]"
trisha_efficientnet_b1,0.9438608957437727,"[0.932684924494497, 0.937989163154726, 0.950416501388338]"
