model,params,f1_macro,f1_0_recyclable,f1_1_electronic,f1_2_organic,precision,recall
clip_vit_b32,150M+,0.9763213137369847,0.9669504256384577,0.984147114774889,0.9778664007976072,"[0.967434869739479, 0.9810366624525917, 0.9784517158818835]","[0.9664664664664665, 0.9872773536895675, 0.977281785571941]"
convnext_tiny,"28,215,395",0.9745415524609132,0.9636091724825523,0.9860050890585241,0.9740103958416634,"[0.9597815292949354, 0.9860050890585241, 0.9771359807460891]","[0.9674674674674675, 0.9860050890585241, 0.9709047429254684]"
swin_tiny_patch4_window7_224,"27,914,621",0.9686489714641014,0.9598595082789764,0.9718925671455341,0.9741948389677936,"[0.9622736418511066, 0.9546012269938651, 0.9779116465863453]","[0.9574574574574575, 0.989821882951654, 0.9705061777600638]"
efficientformer_l1,"11,623,355",0.9578088862573138,0.9452261306532663,0.9619937694704049,0.9662067586482703,"[0.9490413723511605, 0.9426129426129426, 0.9695024077046549]","[0.9414414414414415, 0.9821882951653944, 0.9629334396173774]"
