name,best_val_f1,f1_per_class
C_text_features,0.9802867146644418,"[0.7582774291278944, 0.6108979278587874, 0.8464163822525598]"
B_conf_filter_0.99,0.9570919890646028,"[0.9447388342165026, 0.9623224212476837, 0.9642147117296223]"
D_multi_encoder,0.95542003973318,[]
B_conf_filter_0.95,0.9550788729893417,"[0.9426686960933536, 0.9582822085889571, 0.9642857142857143]"
B_conf_filter_0.9,0.9490610528146212,"[0.935270132517839, 0.950519242516799, 0.9613937834092259]"
A_zero_shot,0.8519800699971277,"[0.7995735607675906, 0.8650793650793651, 0.891287284144427]"
