name,encoder_name,best_val_f1,best_epoch,f1_per_class,precision_per_class,recall_per_class,history
yuda_convnext_tiny,convnext_tiny,0.974227735498483,10,"[0.9450990223113562, 0.9638854296388543, 0.963524018337652]","[0.9477124183006536, 0.9508599508599509, 0.9656412305233719]","[0.9425, 0.9772727272727273, 0.9614160700079555]","{'train_loss': [0.1852453487352973, 0.12628048591607485, 0.10355724923730637, 0.09022481000073344, 0.07104883568877907, 0.06386283694733852, 0.05205671831366539, 0.04228404928885922, 0.03680864678178942, 0.03763270177467304, 0.23121477417782488, 0.1571971048609387, 0.10467446957878258, 0.10613923617435271, 0.07153704344476952, 0.07379871217834802, 0.05877062457504661, 0.0571931172838827, 0.03950273719672908, 0.024218351759270992], 'val_f1': [0.9609022494888907, 0.962467485679004, 0.9712690529882487, 0.9677563520329451, 0.9734773532744764, 0.9726252583488181, 0.9727461832363661, 0.97259165170474, 0.9730302396558238, 0.974227735498483, 0.9460135859909063, 0.9524282450751146, 0.9531434883402335, 0.9427952668931345, 0.9525819220963002, 0.938775159050176, 0.958946421642903, 0.9557402274557308, 0.9550795849499565, 0.9575028234292874]}"
yuda_efficientnet_b3,efficientnet_b3,0.9705781323008725,27,"[0.9543650793650794, 0.9849435382685069, 0.96470116325712]","[0.9468503937007874, 0.9788029925187033, 0.9728964401294499]","[0.962, 0.9911616161616161, 0.956642800318218]","{'train_loss': [0.35156724323709326, 0.27736453248569404, 0.24210021527573825, 0.22173594584105066, 0.208605757028044, 0.19687198265175143, 0.18270455471643932, 0.16876478270762207, 0.17072837590239942, 0.16295445344624032, 0.1656151144773733, 0.10319118641831643, 0.07067434043250592, 0.057909361076354, 0.046164068606272105, 0.03893291153243293, 0.030384624244013676, 0.02242888886064931, 0.01990362821253183, 0.014771139357296433, 0.014205008545545697, 0.01192545584761118, 0.008687154291468815, 0.0093882312129285, 0.005820838827820442, 0.005173185675636952, 0.004828937963099997, 0.004539399094477737, 0.003506850702167731, 0.0027744852816471727], 'val_f1': [0.8707434299935316, 0.8981285950294219, 0.9024657114568323, 0.9184670212357465, 0.9144067002498549, 0.9221257383380715, 0.9254592845995563, 0.9253848230919278, 0.92137375117697, 0.9301064916230962, 0.9495389369003494, 0.9613128318927832, 0.9622983379644201, 0.9596178669637747, 0.9590880027204954, 0.9608988445620034, 0.9643357250444041, 0.9664049184535753, 0.9670852048508541, 0.966703654526811, 0.9694151707462394, 0.9675086000132284, 0.9655170870797333, 0.9682583848059375, 0.9688959174505726, 0.9705781323008725, 0.9687354212437964, 0.9690859495275118, 0.9696122559101833, 0.9680032602969021]}"
yuda_resnet50,resnet50,0.9698417286463156,29,"[0.9541375872382851, 0.980466288594833, 0.9670855774985039]","[0.9512922465208747, 0.9786163522012579, 0.9699879951980792]","[0.957, 0.9823232323232324, 0.964200477326969]","{'train_loss': [0.4145770973514721, 0.3386210578953825, 0.3075814149622996, 0.29600249600585504, 0.272661689865257, 0.2622976156333125, 0.26063945652715054, 0.23013049530016863, 0.23428638964465046, 0.23246109432888679, 0.22009427082186273, 0.16380313661016793, 0.12690988461296243, 0.10252690008078444, 0.09462633690830455, 0.07752971890444182, 0.06934425620087255, 0.05851456771248984, 0.04870924198354282, 0.04723353467015402, 0.03720057513476286, 0.03797059185328991, 0.030688401339731688, 0.02736582472447568, 0.028432986811285116, 0.024683029825812712, 0.0231345174342238, 0.020968117798310485, 0.021428217129064852, 0.02253637658533266], 'val_f1': [0.8804416939149254, 0.9125951526214706, 0.9089995982624753, 0.9216941735521361, 0.928954038716974, 0.9196810874167999, 0.9249803020187698, 0.9270510153492314, 0.9279282272669381, 0.931236236595339, 0.9386575233933921, 0.9507785841089221, 0.9536488019595254, 0.9600450757999403, 0.9601898692255638, 0.9633295551644204, 0.9589821273844724, 0.9683465037644282, 0.965090410989288, 0.9671411519841618, 0.9655844041693872, 0.9674184217881998, 0.9671579900401509, 0.9647895323598186, 0.9672407216572759, 0.9682403366427789, 0.9673187517564084, 0.9698417286463156, 0.966340103213958, 0.9672298177772074]}"
yuda_resnext50_32x4d,resnext50_32x4d,0.9665897332772726,21,"[0.9527127924340468, 0.9715729627289956, 0.9662741967671123]","[0.9484638255698712, 0.9721871049304678, 0.9695634761714057]","[0.957, 0.9709595959595959, 0.9630071599045346]","{'train_loss': [0.4033553764470909, 0.32591775005840395, 0.3063477208187063, 0.2917525482038597, 0.27201360060148927, 0.2626765094506723, 0.2487777645015214, 0.2414116182936782, 0.23578467120203267, 0.23985645064455738, 0.21538837736259292, 0.13614762805301292, 0.09946594726650539, 0.08699459926553452, 0.06984343133300139, 0.05499785128210851, 0.05423075622610372, 0.036632010423277114, 0.030279411741744353, 0.021759854596022858, 0.022614706908866702, 0.019287629616140962, 0.015896080428293668, 0.014401192532412245, 0.01082343720399832, 0.011240272214029366, 0.009722073049956774, 0.008949045956638021, 0.007117076191122239, 0.005496898400360497], 'val_f1': [0.9004252276251035, 0.897186969124781, 0.9005255846832125, 0.9135942400070379, 0.9180498273727284, 0.9122096608033061, 0.922187619136718, 0.9219388166095165, 0.9251548579573087, 0.9232615844828028, 0.953232784934563, 0.9514493080894404, 0.9555581869451902, 0.9596888285323697, 0.9659164316310914, 0.9582991909316491, 0.9565695224589671, 0.9629134204626041, 0.9582249159116332, 0.9665897332772726, 0.961957758688578, 0.9636285009623702, 0.9646280981456954, 0.9649427288417054, 0.9656539411519139, 0.9635097004081222, 0.9641810020504421, 0.9627346310347532, 0.9640554838502119, 0.9635199839767182]}"
yuda_vit_small_patch16_224,vit_small_patch16_224,0.9559481445513874,10,"[0.9398587776966155, 0.9612015018773467, 0.955369879763603]","[0.9159943046986236, 0.9528535980148883, 0.9795236105307146]","[0.965, 0.9696969696969697, 0.9323786793953859]","{'train_loss': [0.3187443376560864, 0.23590211690324975, 0.2066571718020118, 0.1896795152815575, 0.17426429727782372, 0.16105339726074094, 0.14811941161779799, 0.13291585521144142, 0.13084630334836778, 0.13044469029900718, 0.20814281500068055, 0.13209873051256368, 0.1070374903917023, 0.1065752783256193, 0.08930443899861343, 0.07398352214719092, 0.04816799050446667, 0.05411039420029837, 0.030748064152725508, 0.031884596631501276], 'val_f1': [0.9280658088696866, 0.9391491235376637, 0.9374188924025688, 0.9425083242082007, 0.9496508079214995, 0.9495471342832872, 0.9533518115263364, 0.9538947625388287, 0.9550986689036421, 0.9559481445513874, 0.9546949025845303, 0.9410358409011522, 0.914148786267876, 0.9508075498948397, 0.9333633839897693, 0.9536250289715286, 0.9498571919491021, 0.9540008646562502, 0.9505066735169718, 0.952143386445855]}"
