name,encoder_name,best_val_f1,best_epoch,f1_per_class,precision_per_class,recall_per_class,history
yuda2_effnet_b3_300,efficientnet_b3,0.9730807726543511,20,"[0.9568706118355065, 0.9874213836477987, 0.9674215335717123]","[0.959758551307847, 0.9837092731829574, 0.9662698412698413]","[0.954, 0.9911616161616161, 0.9685759745425616]","{'train_loss': [0.33522694621490595, 0.24865214745342148, 0.23066581632294877, 0.20515958542869578, 0.18899033125156584, 0.18482575820953345, 0.1734797294825714, 0.15846795703524116, 0.1499131470562479, 0.14503318667443385, 0.1669537863784952, 0.10883341119425531, 0.07876173109509584, 0.06260654150766638, 0.05539819450615527, 0.049528171567891265, 0.0366626132335384, 0.03142913044259741, 0.030101364434085343, 0.020872944317416587, 0.014847838979176508, 0.01355375813225543, 0.007129073288285743, 0.006338785793773515, 0.007404286935930432, 0.004077330905641585, 0.0050916934663364395, 0.002873947339419028, 0.004217458947512713], 'val_f1': [0.910745914500255, 0.9149006813352051, 0.928257816018057, 0.9307574877474621, 0.9336453801418774, 0.9358179705125137, 0.9443066250079709, 0.9382374715117984, 0.9372006133513385, 0.9509018020844753, 0.9606314370895036, 0.9643884934421153, 0.9590435928070337, 0.9678591068705229, 0.9630126862643045, 0.9630930408139867, 0.971076447213723, 0.9610332508844436, 0.9730807726543511, 0.9710206534761444, 0.9695511298228837, 0.9728156476118661, 0.9700208145405025, 0.9712482465906537, 0.9726695905994336, 0.9714331243912846, 0.9699748084796699, 0.9703245567178449, 0.9705711763516726]}"
yuda2_convnext_randaug,convnext_tiny,0.9725101743691352,9,"[0.938558786346397, 0.9375, 0.9597436410975365]","[0.9493606138107417, 0.8944954128440367, 0.9665187575635337]","[0.928, 0.9848484848484849, 0.9530628480509149]","{'train_loss': [0.21124161645652256, 0.14355296110425772, 0.12870051178987227, 0.11214093479758454, 0.10700464830067603, 0.09135881908878218, 0.08038435255423475, 0.06694034867094555, 0.06619248225370139, 0.06488643190998819, 0.26825046203806097, 0.1781173445991274, 0.14565057989773733, 0.13390436140081918, 0.11091989065879529, 0.089273254141802, 0.08347493590501626, 0.07918581197202046, 0.054921531778438885], 'val_f1': [0.9652851989695003, 0.9643923554070639, 0.9697424584394335, 0.9691807490027848, 0.968946594664995, 0.9696890953599127, 0.9715673696700811, 0.9725079327890493, 0.9725101743691352, 0.9723571830268675, 0.9532055539608043, 0.9362963785478776, 0.9366008141327308, 0.9435035950114953, 0.9578733706050379, 0.9584460219360693, 0.9563786587315678, 0.9564822196709569, 0.9452674758146444]}"
yuda2_swin_tiny,swin_tiny_patch4_window7_224,0.9668925015106766,8,"[0.94265321191238, 0.9714648065948003, 0.9581657280772325]","[0.9282598158022297, 0.975796178343949, 0.9690805532953621]","[0.9575, 0.9671717171717171, 0.9474940334128878]","{'train_loss': [0.24903430200058474, 0.1788596054665318, 0.14895700949597654, 0.13509721745574196, 0.12317900224771149, 0.10586962503723306, 0.1041008219735119, 0.093051131193369, 0.08859797557521365, 0.08478010937687941, 0.1872243762145335, 0.13480092657039908, 0.1185109724552954, 0.09868277446406294, 0.08160164355298964, 0.07193209561184455, 0.06074442920055526, 0.04871258763229988], 'val_f1': [0.9424818512514183, 0.9540383380428731, 0.9570208082758916, 0.9585256453745766, 0.9623876551080972, 0.9643303873364827, 0.9632922771646996, 0.9668925015106766, 0.9657296020353039, 0.9655821806998802, 0.9423031108739218, 0.9593400182035708, 0.9387788929860355, 0.9588678547711259, 0.9618819339175869, 0.9645854596338514, 0.9558736047025369, 0.9574279155281377]}"
yuda2_convnext_focal,convnext_tiny,0.0865857658248606,12,"[0.0, 0.2597572974745818, 0.0]","[0.0, 0.14926498303807012, 0.0]","[0.0, 1.0, 0.0]","{'train_loss': [0.0020808542922495163, 0.0006699689533547174, 0.0010694098478434728, 0.00035558910443605715, 0.0004003701783840008, 0.00032152375360629894, 0.0003028458468365767, 0.0003080147001327798, 0.00027027738408480793, 0.0002915494256980001, 1.0641333035212066e-07, 2.8589207598496013e-14, 2.8609586274878364e-14, 2.8635460944949406e-14, 2.862212883770743e-14, 2.861079774630248e-14, 2.865679089546021e-14, 2.8639825338338824e-14, 2.8627183989016635e-14, 2.859534408686325e-14, 2.85746110037316e-14], 'val_f1': [0.033966211501116624, 0.02353919291994277, 0.038772081587267054, 0.03313437228563712, 0.04525805474829029, 0.049063791187595684, 0.051195958481234205, 0.060376128848287934, 0.060897810503350476, 0.06026026741855789, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606, 0.0865857658248606]}"
