name,best_val_f1,f1_per_class
E_ensemble_0.7_0.3,0.9848695256674033,"[0.9782771535580524, 0.9930511686670878, 0.98328025477707]"
E_ensemble_0.8_0.2,0.9838247317164915,"[0.9765469061876247, 0.9930511686670878, 0.981876120294762]"
C_headonly,0.9835112185176756,[]
E_ensemble_0.5_0.5,0.9783693985959495,"[0.9701343952215032, 0.9867172675521821, 0.9782565330141632]"
E_ensemble_0.3_0.7,0.9676297989777508,"[0.9566517189835575, 0.9768315591734502, 0.9694061187762447]"
E_ensemble_0.2_0.8,0.9647028962255221,"[0.9535232383808095, 0.9725343320848939, 0.9680511182108626]"
