name,best_val_f1
C0.70+Conv0.10+Eff0.20,0.985615906502889
C0.80+Conv0.10+Eff0.10,0.9848729863264173
C0.60+Conv0.10+Eff0.30,0.9846953051579276
C0.80+Conv0.20,0.9844200711179149
C0.60+Conv0.20+Eff0.20,0.984397637021691
C0.75+Conv0.25,0.9842726707911987
C0.85+Conv0.15,0.9839705696322051
TTA_C0.75+Conv0.25,0.9839528836700283
2_prompt_focal,0.9839496950616109
C0.70+Conv0.20+Eff0.10,0.9836755492574857
TTA_C0.80+Conv0.20,0.9835083275412076
TTA_C0.70+Conv0.30,0.9835081021693481
C0.60+Conv0.30+Eff0.10,0.9835064471376462
TTA_C0.65+Conv0.35,0.9833798979860987
C0.90+Conv0.10,0.9832314663522096
C0.50+Conv0.20+Eff0.30,0.9831951574846437
C0.70+Conv0.30,0.9831049999153567
TTA_C0.85+Conv0.15,0.982932073545288
TTA_C0.60+Conv0.40,0.9826347029305627
1_prompt_ce,0.9824565431858834
C0.50+Conv0.30+Eff0.20,0.9823115468043725
TTA_C0.55+Conv0.45,0.9820525479455734
C0.65+Conv0.35,0.9819171149987569
TTA_C0.90+Conv0.10,0.9818969115379449
C0.50+Conv0.10+Eff0.40,0.98167748266503
C0.60+Conv0.40,0.980577099064243
C0.50+Conv0.40+Eff0.10,0.9802480348786394
C0.55+Conv0.45,0.9790849459963674
TTA_C0.50+Conv0.50,0.9777916434128825
C0.50+Conv0.50,0.9751086231128472
